DATE,TIME,実績(万kW)
2020/1/1,0:00,2857
2020/1/1,1:00,2703
2020/1/1,2:00,2602
2020/1/1,3:00,2520
2020/1/1,4:00,2464
2020/1/1,5:00,2469
2020/1/1,6:00,2585
2020/1/1,7:00,2763
2020/1/1,8:00,2917
2020/1/1,9:00,2859
2020/1/1,10:00,2718
2020/1/1,11:00,2595
2020/1/1,12:00,2520
2020/1/1,13:00,2449
2020/1/1,14:00,2432
2020/1/1,15:00,2503
2020/1/1,16:00,2717
2020/1/1,17:00,3019
2020/1/1,18:00,3089
2020/1/1,19:00,3105
2020/1/1,20:00,3107
2020/1/1,21:00,3075
2020/1/1,22:00,2963
2020/1/1,23:00,2843
2020/1/2,0:00,2640
2020/1/2,1:00,2514
2020/1/2,2:00,2468
2020/1/2,3:00,2441
2020/1/2,4:00,2435
2020/1/2,5:00,2487
2020/1/2,6:00,2658
2020/1/2,7:00,2863
2020/1/2,8:00,3010
2020/1/2,9:00,2961
2020/1/2,10:00,2865
2020/1/2,11:00,2773
2020/1/2,12:00,2687
2020/1/2,13:00,2583
2020/1/2,14:00,2541
2020/1/2,15:00,2600
2020/1/2,16:00,2808
2020/1/2,17:00,3107
2020/1/2,18:00,3187
2020/1/2,19:00,3196
2020/1/2,20:00,3184
2020/1/2,21:00,3128
2020/1/2,22:00,2999
2020/1/2,23:00,2868
2020/1/3,0:00,2653
2020/1/3,1:00,2525
2020/1/3,2:00,2478
2020/1/3,3:00,2457
2020/1/3,4:00,2449
2020/1/3,5:00,2503
2020/1/3,6:00,2670
2020/1/3,7:00,2892
2020/1/3,8:00,3074
2020/1/3,9:00,3034
2020/1/3,10:00,2908
2020/1/3,11:00,2777
2020/1/3,12:00,2693
2020/1/3,13:00,2629
2020/1/3,14:00,2603
2020/1/3,15:00,2647
2020/1/3,16:00,2845
2020/1/3,17:00,3159
2020/1/3,18:00,3251
2020/1/3,19:00,3263
2020/1/3,20:00,3239
2020/1/3,21:00,3168
2020/1/3,22:00,3021
2020/1/3,23:00,2874
2020/1/4,0:00,2662
2020/1/4,1:00,2535
2020/1/4,2:00,2481
2020/1/4,3:00,2448
2020/1/4,4:00,2442
2020/1/4,5:00,2506
2020/1/4,6:00,2704
2020/1/4,7:00,2942
2020/1/4,8:00,3179
2020/1/4,9:00,3229
2020/1/4,10:00,3143
2020/1/4,11:00,3055
2020/1/4,12:00,2990
2020/1/4,13:00,2929
2020/1/4,14:00,2936
2020/1/4,15:00,2999
2020/1/4,16:00,3203
2020/1/4,17:00,3441
2020/1/4,18:00,3486
2020/1/4,19:00,3473
2020/1/4,20:00,3414
2020/1/4,21:00,3286
2020/1/4,22:00,3096
2020/1/4,23:00,2945
2020/1/5,0:00,2753
2020/1/5,1:00,2624
2020/1/5,2:00,2575
2020/1/5,3:00,2544
2020/1/5,4:00,2531
2020/1/5,5:00,2590
2020/1/5,6:00,2771
2020/1/5,7:00,3014
2020/1/5,8:00,3234
2020/1/5,9:00,3263
2020/1/5,10:00,3172
2020/1/5,11:00,3077
2020/1/5,12:00,3014
2020/1/5,13:00,2970
2020/1/5,14:00,2956
2020/1/5,15:00,3039
2020/1/5,16:00,3290
2020/1/5,17:00,3667
2020/1/5,18:00,3777
2020/1/5,19:00,3778
2020/1/5,20:00,3736
2020/1/5,21:00,3593
2020/1/5,22:00,3367
2020/1/5,23:00,3161
2020/1/6,0:00,2900
2020/1/6,1:00,2756
2020/1/6,2:00,2698
2020/1/6,3:00,2674
2020/1/6,4:00,2715
2020/1/6,5:00,2953
2020/1/6,6:00,3454
2020/1/6,7:00,3881
2020/1/6,8:00,4168
2020/1/6,9:00,4201
2020/1/6,10:00,4058
2020/1/6,11:00,3945
2020/1/6,12:00,3731
2020/1/6,13:00,3782
2020/1/6,14:00,3771
2020/1/6,15:00,3808
2020/1/6,16:00,4012
2020/1/6,17:00,4177
