datetime,temp(F),feels_like(F),dew_point(F),wind_speed(mph),wind_dir(deg),wind_dir(dir),uv_index,precip(inch),precip_hourly(inch),pressure(inch),humidity(%),overall
2016-01-01 00:00:00,46,41,37,10,20,NNE,0,0,0,30.12,71,Fair
2016-01-01 00:30:00,46,41,37,12,20,NNE,0,0,0,30.09,71,Fair
2016-01-01 01:00:00,46,41,37,13,20,NNE,0,0,0,30.12,71,Fair
2016-01-01 01:30:00,45,38,37,14,360,N,0,0,0,30.12,76,Fair
2016-01-01 02:00:00,45,38,36,13,360,N,0,0,0,30.12,71,Partly Cloudy
2016-01-01 02:30:00,45,38,36,13,360,N,0,0,0,30.12,71,Fair
2016-01-01 03:00:00,45,38,34,14,10,N,0,0,0,30.15,66,Partly Cloudy
2016-01-01 03:30:00,45,38,34,13,360,N,0,0,0,30.15,66,Fair
2016-01-01 04:00:00,45,39,34,12,360,N,0,0,0,30.15,66,Fair
2016-01-01 04:30:00,45,38,32,13,10,N,0,0,0,30.15,61,Fair
2016-01-01 05:00:00,45,38,30,15,360,N,0,0,0,30.18,57,Fair
2016-01-01 05:30:00,45,37,30,17,10,N,0,0,0,30.18,57,Fair
2016-01-01 06:00:00,45,38,28,13,340,NNW,0,0,0,30.21,53,Fair
2016-01-01 06:30:00,43,35,27,17,340,NNW,0,0,0,30.21,53,Fair
2016-01-01 07:00:00,45,37,25,17,340,NNW,1,0,0,30.24,46,Fair
2016-01-01 07:30:00,45,38,27,15,340,NNW,1,0,0,30.24,49,Fair
2016-01-01 08:00:00,45,38,25,15,330,NNW,1,0,0,30.24,46,Fair
2016-01-01 08:30:00,45,37,25,16,330,NNW,1,0,0,30.24,46,Fair
2016-01-01 09:00:00,46,39,25,17,340,NNW,1,0,0,30.27,43,Fair
2016-01-01 09:30:00,48,42,23,17,340,NNW,2,0,0,30.27,37,Fair
2016-01-01 10:00:00,50,50,19,18,330,NNW,2,0,0,30.27,30,Fair
2016-01-01 10:30:00,50,50,21,14,350,N,2,0,0,30.27,32,Fair
2016-01-01 11:00:00,50,50,21,12,350,N,3,0,0,30.24,32,Fair
2016-01-01 11:30:00,52,52,21,9,350,N,3,0,0,30.24,30,Fair
2016-01-01 12:00:00,52,52,23,9,350,N,3,0,0,30.24,33,Fair
2016-01-01 12:30:00,52,52,19,8,350,N,2,0,0,30.21,28,Fair
2016-01-01 13:00:00,52,52,18,5,None,VAR,2,0,0,30.21,26,Fair
2016-01-01 13:30:00,54,54,16,7,310,NW,2,0,0,30.21,22,Fair
2016-01-01 14:00:00,54,54,14,9,300,WNW,2,0,0,30.21,21,Fair
2016-01-01 14:30:00,54,54,14,7,310,NW,1,0,0,30.21,21,Fair
2016-01-01 15:00:00,54,54,14,5,280,W,1,0,0,30.21,21,Fair
2016-01-01 15:19:00,52,52,25,12,130,SE,1,0,0,30.21,35,Fair
2016-01-01 15:30:00,52,52,21,12,140,SE,1,0,0,30.21,30,Fair
2016-01-01 16:00:00,52,52,23,8,150,SSE,1,0,0,30.24,33,Fair
2016-01-01 16:30:00,50,50,23,7,160,SSE,1,0,0,30.24,35,Fair
2016-01-01 17:00:00,50,50,25,7,150,SSE,0,0,0,30.24,37,Fair
2016-01-01 17:30:00,52,52,27,5,200,SSW,0,0,0,30.27,38,Fair
2016-01-01 18:00:00,52,52,27,1,None,VAR,0,0,0,30.27,38,Partly Cloudy
2016-01-01 18:30:00,50,50,28,9,10,N,0,0,0,30.27,43,Mostly Cloudy
2016-01-01 19:00:00,50,50,27,10,20,NNE,0,0,0,30.27,40,Mostly Cloudy
2016-01-01 19:30:00,50,50,27,8,20,NNE,0,0,0,30.27,40,Mostly Cloudy
2016-01-01 20:00:00,50,50,25,7,360,N,0,0,0,30.27,37,Mostly Cloudy
2016-01-01 20:30:00,50,50,25,8,360,N,0,0,0,30.27,37,Mostly Cloudy
2016-01-01 21:00:00,46,44,25,6,330,NNW,0,0,0,30.27,43,Mostly Cloudy
2016-01-01 21:30:00,46,44,25,6,340,NNW,0,0,0,30.27,43,Partly Cloudy
2016-01-01 22:00:00,48,45,27,7,360,N,0,0,0,30.27,43,Fair
2016-01-01 22:30:00,45,41,25,7,320,NW,0,0,0,30.27,46,Fair
2016-01-01 23:00:00,46,42,25,9,340,NNW,0,0,0,30.24,43,Fair
2016-01-01 23:30:00,45,41,25,6,330,NNW,0,0,0,30.24,46,Fair
2016-01-02 00:00:00,45,41,25,6,310,NW,0,0,0,30.24,46,Partly Cloudy
2016-01-02 00:30:00,43,38,25,8,320,NW,0,0,0,30.24,49,Partly Cloudy
2016-01-02 01:00:00,43,39,25,7,320,NW,0,0,0,30.24,49,Mostly Cloudy
2016-01-02 01:30:00,43,39,25,7,320,NW,0,0,0,30.21,49,Mostly Cloudy
2016-01-02 02:00:00,45,39,27,10,330,NNW,0,0,0,30.24,49,Mostly Cloudy
2016-01-02 02:30:00,43,37,28,10,340,NNW,0,0,0,30.24,57,Mostly Cloudy
2016-01-02 03:00:00,43,37,27,9,350,N,0,0,0,30.21,53,Mostly Cloudy
